sentence,aspect,description,input_text,label
chất vải khá ổn tuy nhiên đặt cùng kích cỡ 29 mà 1c rất bó. 1c vừa.1c rộng 1m68. 63kg. bình thường mặc kích cỡ 30 nhưng sợ rộng đặt lùi về 1 kích cỡ mà toang. theo mình nghĩ đây có thể là lỗi bên nhà sx .,chat_lieu,vải chất liệu vải thun cotton jean kaki,chất vải khá ổn tuy nhiên đặt cùng kích cỡ 29 mà 1c rất bó. 1c vừa.1c rộng 1m68. 63kg. bình thường mặc kích cỡ 30 nhưng sợ rộng đặt lùi về 1 kích cỡ mà toang. theo mình nghĩ đây có thể là lỗi bên nhà sx . [SEP] vải chất liệu vải thun cotton jean kaki,1
"quần khá mỏng, đường may sơ sài, còn thua cả quần chợ 140k nữa, với mức giá này không hợp lý lắm, bù lại thái độ phục vụ của cửa hàng tốt nên cộng thêm 2",gia_ca,giá giá tiền mắc rẻ,"quần khá mỏng, đường may sơ sài, còn thua cả quần chợ 140k nữa, với mức giá này không hợp lý lắm, bù lại thái độ phục vụ của cửa hàng tốt nên cộng thêm 2 [SEP] giá giá tiền mắc rẻ",1
"giặt máy 3 4 lần phần túi đã rách, chất lượng vải dùng được",do_ben,độ bền bền rách bung hỏng,"giặt máy 3 4 lần phần túi đã rách, chất lượng vải dùng được [SEP] độ bền bền rách bung hỏng",1
"lần đầu mua của cửa hàng quần chất vải khá đẹp giày dặn, đứng kiểu dáng mấy lần sau mua thêm mà chất vải mỏng rất : mong cửa hàng cải thiện chất vải để e ủng hộ nhìu nhìu rcm vẫn nên mua ạ♥️",kieu_dang,kiểu dáng form thiết kế mẫu,"lần đầu mua của cửa hàng quần chất vải khá đẹp giày dặn, đứng kiểu dáng mấy lần sau mua thêm mà chất vải mỏng rất : mong cửa hàng cải thiện chất vải để e ủng hộ nhìu nhìu rcm vẫn nên mua ạ♥️ [SEP] kiểu dáng form thiết kế mẫu",1
chất lượng vải xấu có nhiều chỉ thừa,gia_cong,đường may gia công chỉ may,chất lượng vải xấu có nhiều chỉ thừa [SEP] đường may gia công chỉ may,1
"quần đẹp mang thoải mái dễ chịu, phần màu quan trọng nhất thì không ổn, màu khác hoàn toàn so với hình mẫu",do_ben,độ bền bền rách bung hỏng,"quần đẹp mang thoải mái dễ chịu, phần màu quan trọng nhất thì không ổn, màu khác hoàn toàn so với hình mẫu [SEP] độ bền bền rách bung hỏng",0
quần đẹp vải mịn nhưng bị lỗi không có cúc. đặt kích cỡ 30 hơi bị rộng bụng,doi_tra,đổi trả hoàn tiền bảo hành,quần đẹp vải mịn nhưng bị lỗi không có cúc. đặt kích cỡ 30 hơi bị rộng bụng [SEP] đổi trả hoàn tiền bảo hành,0
cạp hơi rộng,kieu_dang,kiểu dáng form thiết kế mẫu,cạp hơi rộng [SEP] kiểu dáng form thiết kế mẫu,0
"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ",giao_hang,ship giao hàng vận chuyển giao lâu,"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ [SEP] ship giao hàng vận chuyển giao lâu",0
"lúc giao hàng cho mình thì mở ra xem thấy quần bị rách nhỏ ở phần ống,bù lại chất lượng khá tốt",gia_cong,đường may gia công chỉ may,"lúc giao hàng cho mình thì mở ra xem thấy quần bị rách nhỏ ở phần ống,bù lại chất lượng khá tốt [SEP] đường may gia công chỉ may",1
"quần hơi mỏng vải đẹp còn chỉ thừa rất rộng so với kích cỡ , nên đặt nhỏ lại 2 kích cỡ so với bảng kích cỡ nhé rộng eo bị dài đành đưa người khác mang",chat_lieu,vải chất liệu vải thun cotton jean kaki,"quần hơi mỏng vải đẹp còn chỉ thừa rất rộng so với kích cỡ , nên đặt nhỏ lại 2 kích cỡ so với bảng kích cỡ nhé rộng eo bị dài đành đưa người khác mang [SEP] vải chất liệu vải thun cotton jean kaki",1
giao hàng lâu ạ. nhưng đóng gói đẹp chất liệu vải khá ổn hình ảnh chỉ mang tính chất nhận xu,doi_tra,đổi trả hoàn tiền bảo hành,giao hàng lâu ạ. nhưng đóng gói đẹp chất liệu vải khá ổn hình ảnh chỉ mang tính chất nhận xu [SEP] đổi trả hoàn tiền bảo hành,0
chất liệu vải không phù hợp,chat_lieu,vải chất liệu vải thun cotton jean kaki,chất liệu vải không phù hợp [SEP] vải chất liệu vải thun cotton jean kaki,1
cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt,cham_soc_khach_hang,tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt [SEP] tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,1
"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",doi_tra,đổi trả hoàn tiền bảo hành,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được [SEP] đổi trả hoàn tiền bảo hành",1
"mình 52kg 1m68 nhưng bận rất chật có liên hệ cửa hàng nhưng do cửa hàng đã nghỉ tết nên không đổi trả được, chỉ thừa rất nhiều và không vừa kích cỡ có chút thất vọng :",doi_tra,đổi trả hoàn tiền bảo hành,"mình 52kg 1m68 nhưng bận rất chật có liên hệ cửa hàng nhưng do cửa hàng đã nghỉ tết nên không đổi trả được, chỉ thừa rất nhiều và không vừa kích cỡ có chút thất vọng : [SEP] đổi trả hoàn tiền bảo hành",0
"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật",1
hàng chất lượng nhưng mà hơi ngắn xíu,uy_tin_cua_hang,uy tín shop cửa hàng đáng tin,hàng chất lượng nhưng mà hơi ngắn xíu [SEP] uy tín shop cửa hàng đáng tin,0
"đóng gói chắc chắn, giao hàng tạm, mua lần 2 thất vọng tràn trề luôn thua lần đầu tiên 🥲 đợt sau này quần kích cỡ thì nhỏ, lưng quần cứng khó chịu, vải thô cứng còn bị xù lông khi mặc ngồi gì giặt xong xù lông hết đít quần xấu ghê",giao_hang,ship giao hàng vận chuyển giao lâu,"đóng gói chắc chắn, giao hàng tạm, mua lần 2 thất vọng tràn trề luôn thua lần đầu tiên 🥲 đợt sau này quần kích cỡ thì nhỏ, lưng quần cứng khó chịu, vải thô cứng còn bị xù lông khi mặc ngồi gì giặt xong xù lông hết đít quần xấu ghê [SEP] ship giao hàng vận chuyển giao lâu",1
"quần thì được, nhưng mà séc kéo bị hư ",dong_goi,đóng gói bao bì đóng hộp,"quần thì được, nhưng mà séc kéo bị hư  [SEP] đóng gói bao bì đóng hộp",0
"đã mua 2 lần nhưng chất lượng lần 2 lại không như mong muốn, cùng mua kích cỡ 31 nhưng lần trước quần khá đẹp vải dày dặn, còn lần này thì quần lại nhỏ hơn dù cùng kích cỡ 31 , vải rất mỏng, thất vọng tràn trề, mình mua lần 1 tin tưởng nên mới mua lần 2, nhưng lần 2 lại cho mình trải nghiệm rất xấu",giao_hang,ship giao hàng vận chuyển giao lâu,"đã mua 2 lần nhưng chất lượng lần 2 lại không như mong muốn, cùng mua kích cỡ 31 nhưng lần trước quần khá đẹp vải dày dặn, còn lần này thì quần lại nhỏ hơn dù cùng kích cỡ 31 , vải rất mỏng, thất vọng tràn trề, mình mua lần 1 tin tưởng nên mới mua lần 2, nhưng lần 2 lại cho mình trải nghiệm rất xấu [SEP] ship giao hàng vận chuyển giao lâu",0
ống quần rất rộng với chất vải không có giãn,do_ben,độ bền bền rách bung hỏng,ống quần rất rộng với chất vải không có giãn [SEP] độ bền bền rách bung hỏng,0
ổn nhưng tự ý cắt khuy cài của khách hàng,uy_tin_cua_hang,uy tín shop cửa hàng đáng tin,ổn nhưng tự ý cắt khuy cài của khách hàng [SEP] uy tín shop cửa hàng đáng tin,0
quần đúng mô tả chất lượng vải tốt . hơi co giãn ủng hộ lần sau,giao_hang,ship giao hàng vận chuyển giao lâu,quần đúng mô tả chất lượng vải tốt . hơi co giãn ủng hộ lần sau [SEP] ship giao hàng vận chuyển giao lâu,0
"quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên",giao_hang,ship giao hàng vận chuyển giao lâu,"quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên [SEP] ship giao hàng vận chuyển giao lâu",0
vải thì đẹp nhưng đường may xấu rất giao hàng nhanh ncl tạm được,gia_cong,đường may gia công chỉ may,vải thì đẹp nhưng đường may xấu rất giao hàng nhanh ncl tạm được [SEP] đường may gia công chỉ may,1
"đã mua 1 lần và lần này là lần thứ 2 cửa hàng làm ăn chán, vải thì xấu không đúng kích cỡ như bảng kích cỡ của cửa hàng ib thì cửa hàng không trả lời m.n ai mua nên suy nghĩ cho kỹ",chat_luong,chất lượng tốt xấu thất vọng hài lòng,"đã mua 1 lần và lần này là lần thứ 2 cửa hàng làm ăn chán, vải thì xấu không đúng kích cỡ như bảng kích cỡ của cửa hàng ib thì cửa hàng không trả lời m.n ai mua nên suy nghĩ cho kỹ [SEP] chất lượng tốt xấu thất vọng hài lòng",0
chất quần đợt này không dày với mịn như đợt truớc mình mua. giao nhanh. đóng gói tốt so với tầm giá thì cửa hàng này vẫn rất tốt,chat_luong,chất lượng tốt xấu thất vọng hài lòng,chất quần đợt này không dày với mịn như đợt truớc mình mua. giao nhanh. đóng gói tốt so với tầm giá thì cửa hàng này vẫn rất tốt [SEP] chất lượng tốt xấu thất vọng hài lòng,0
"quần siu đẹp đường may đẹp không có chỉ thừa, nhìn như này không nghĩ là giá rẻ vậy luôn, giao hàng cũng khá nhanh và đóng gói cẩn thận",chat_lieu,vải chất liệu vải thun cotton jean kaki,"quần siu đẹp đường may đẹp không có chỉ thừa, nhìn như này không nghĩ là giá rẻ vậy luôn, giao hàng cũng khá nhanh và đóng gói cẩn thận [SEP] vải chất liệu vải thun cotton jean kaki",0
mua cửa hàng này nhiều lần cũng có cải thiện về vải vải đợt này đẹp hơn mấy lần trước mình mua mà đợt này vải đẹp mà hơ bị xù lông nhẹ,chat_lieu,vải chất liệu vải thun cotton jean kaki,mua cửa hàng này nhiều lần cũng có cải thiện về vải vải đợt này đẹp hơn mấy lần trước mình mua mà đợt này vải đẹp mà hơ bị xù lông nhẹ [SEP] vải chất liệu vải thun cotton jean kaki,1
mình oder 1 áo somi và 1 quần mà giao hàng chi có 1 quần à. cửa hàng xem lại quy trình đóng gói giúp và kiểm kê hàng. vì là cửa hàng mình thích vì đồ đep nên tạm cho 3s thoi.,dong_goi,đóng gói bao bì đóng hộp,mình oder 1 áo somi và 1 quần mà giao hàng chi có 1 quần à. cửa hàng xem lại quy trình đóng gói giúp và kiểm kê hàng. vì là cửa hàng mình thích vì đồ đep nên tạm cho 3s thoi. [SEP] đóng gói bao bì đóng hộp,1
"quần siu đẹp đường may đẹp không có chỉ thừa, nhìn như này không nghĩ là giá rẻ vậy luôn, giao hàng cũng khá nhanh và đóng gói cẩn thận",mau_sac,màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu,"quần siu đẹp đường may đẹp không có chỉ thừa, nhìn như này không nghĩ là giá rẻ vậy luôn, giao hàng cũng khá nhanh và đóng gói cẩn thận [SEP] màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu",0
mua kích cỡ 26 mà quần như kiểu 30 31 vậy,giao_hang,ship giao hàng vận chuyển giao lâu,mua kích cỡ 26 mà quần như kiểu 30 31 vậy [SEP] ship giao hàng vận chuyển giao lâu,0
"hy vọng không ai giống mình. mua hàng theo quy đổi kích thước xong mặc không vừa. nhắn cửa hàng được hỗ trợ chuyển về lại cửa hàng để đổi trả.chuyển thành công về cho cửa hàng xong cửa hàng xu luôn. nhắn phản hồi thì cứ bảo là chuyển sai để chuyển lại mà 2 lần thế, đến giờ được 2 tháng rồi. cửa hàng lớn làm ăn chán rất có 700k",kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,"hy vọng không ai giống mình. mua hàng theo quy đổi kích thước xong mặc không vừa. nhắn cửa hàng được hỗ trợ chuyển về lại cửa hàng để đổi trả.chuyển thành công về cho cửa hàng xong cửa hàng xu luôn. nhắn phản hồi thì cứ bảo là chuyển sai để chuyển lại mà 2 lần thế, đến giờ được 2 tháng rồi. cửa hàng lớn làm ăn chán rất có 700k [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật",1
đây là lần thứ 2 mua quần tại cửa hàng cùng kích cỡ nhưng kích cỡ 2 quần lại khác nhau,dong_goi,đóng gói bao bì đóng hộp,đây là lần thứ 2 mua quần tại cửa hàng cùng kích cỡ nhưng kích cỡ 2 quần lại khác nhau [SEP] đóng gói bao bì đóng hộp,0
cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt,kieu_dang,kiểu dáng form thiết kế mẫu,cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt [SEP] kiểu dáng form thiết kế mẫu,0
đơn hàng bị mở toe toét không biết mình nhận hàng có phải chuẩn không nữa. chỉ thừa rất nhiều. lúc nhận được hàng là mình đang ngoài đường nhận được ngay luôn và thấy như clip.,cham_soc_khach_hang,tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,đơn hàng bị mở toe toét không biết mình nhận hàng có phải chuẩn không nữa. chỉ thừa rất nhiều. lúc nhận được hàng là mình đang ngoài đường nhận được ngay luôn và thấy như clip. [SEP] tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,0
quần mặc lần đầu tiên đã thấy sổ vải ra có vẻ bị sổ vải từ trước do mua về gần 2 tuần sau mới mặc nên mới để ý thấy kiểu dáng đẹp quần tốt,mau_sac,màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu,quần mặc lần đầu tiên đã thấy sổ vải ra có vẻ bị sổ vải từ trước do mua về gần 2 tuần sau mới mặc nên mới để ý thấy kiểu dáng đẹp quần tốt [SEP] màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu,0
hàng xấu mặc không được luôn nha mọi người 🥲,gia_ca,giá giá tiền mắc rẻ,hàng xấu mặc không được luôn nha mọi người 🥲 [SEP] giá giá tiền mắc rẻ,0
"cửa hàng giao thiếu. báo hết, hoàn tiền. đặt chỉ có 2 nhưng vẫn thiếu hàng",giao_hang,ship giao hàng vận chuyển giao lâu,"cửa hàng giao thiếu. báo hết, hoàn tiền. đặt chỉ có 2 nhưng vẫn thiếu hàng [SEP] ship giao hàng vận chuyển giao lâu",1
"quần kiểu dáng xấu mặc nóng, mua 2 cái cùng 1 kích cỡ nhưng cái rộng cái chật. không đáng để mua",gia_ca,giá giá tiền mắc rẻ,"quần kiểu dáng xấu mặc nóng, mua 2 cái cùng 1 kích cỡ nhưng cái rộng cái chật. không đáng để mua [SEP] giá giá tiền mắc rẻ",0
"rất mỏng, nhanh xơ rất lắm anh em ạ",dong_goi,đóng gói bao bì đóng hộp,"rất mỏng, nhanh xơ rất lắm anh em ạ [SEP] đóng gói bao bì đóng hộp",0
tôi đã mua 1 lần ở đây màu đen khá hài lòng. quần đen là không xếp li. nhưng quần mình nhận lại có xếp ly. quần đen kích cỡ 29 mình mặt vừa. nhưng ghi xám 29 mình không mặc vừa.,chat_luong,chất lượng tốt xấu thất vọng hài lòng,tôi đã mua 1 lần ở đây màu đen khá hài lòng. quần đen là không xếp li. nhưng quần mình nhận lại có xếp ly. quần đen kích cỡ 29 mình mặt vừa. nhưng ghi xám 29 mình không mặc vừa. [SEP] chất lượng tốt xấu thất vọng hài lòng,1
"không biết lần thứ bao nhiêu mua hàng của cửa hàng rồi vì hàng lần nào cũng chất lượng.quần mặc mát ống rộng suông đẹp,xăng tuya chắc chắn.mình cao 1m72 61kg mặc kích cỡ l vừa đẹp.giá thành rẻ hơn thị trường rất nhiều.recommend mua thêm áo sơ mi của cửa hàng mặc combo cho chất nha",mau_sac,màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu,"không biết lần thứ bao nhiêu mua hàng của cửa hàng rồi vì hàng lần nào cũng chất lượng.quần mặc mát ống rộng suông đẹp,xăng tuya chắc chắn.mình cao 1m72 61kg mặc kích cỡ l vừa đẹp.giá thành rẻ hơn thị trường rất nhiều.recommend mua thêm áo sơ mi của cửa hàng mặc combo cho chất nha [SEP] màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu",0
quần vải rất đẹp kiểu bagy nên ống quần rộng. ông quần ôm xí nhìn đẹp hơn nhỉ. 175 65kg. người yêu mình mặc kích cỡ 30 vừa in,chat_lieu,vải chất liệu vải thun cotton jean kaki,quần vải rất đẹp kiểu bagy nên ống quần rộng. ông quần ôm xí nhìn đẹp hơn nhỉ. 175 65kg. người yêu mình mặc kích cỡ 30 vừa in [SEP] vải chất liệu vải thun cotton jean kaki,1
"hàng về nhanh, quần mặc vừa vặn đúng với cửa hàng tư vấn, túi quần rộng để đthoai thoải mái, dịch vụ bên cửa hàng rất nhiệt tình, mọi người nên mua nhé",do_ben,độ bền bền rách bung hỏng,"hàng về nhanh, quần mặc vừa vặn đúng với cửa hàng tư vấn, túi quần rộng để đthoai thoải mái, dịch vụ bên cửa hàng rất nhiệt tình, mọi người nên mua nhé [SEP] độ bền bền rách bung hỏng",0
không như mong đợi lắm,chat_lieu,vải chất liệu vải thun cotton jean kaki,không như mong đợi lắm [SEP] vải chất liệu vải thun cotton jean kaki,0
"quần rẻ mà rất đẹp chất lượng tốt, m68 55kg mặc kích cỡ 28 vừa đẹp luôn, ai muốn rộng với thoải mái hơn chút thì tăng 1 kích cỡ nên mua nha mọi người",gia_ca,giá giá tiền mắc rẻ,"quần rẻ mà rất đẹp chất lượng tốt, m68 55kg mặc kích cỡ 28 vừa đẹp luôn, ai muốn rộng với thoải mái hơn chút thì tăng 1 kích cỡ nên mua nha mọi người [SEP] giá giá tiền mắc rẻ",1
kích thước không đúng như mô tả,kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,kích thước không đúng như mô tả [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,1
". quần khá tốt, giá hợp lí",gia_ca,giá giá tiền mắc rẻ,". quần khá tốt, giá hợp lí [SEP] giá giá tiền mắc rẻ",1
"cửa hàng giao hàng nhanh. quần tốt với giá tiền không đòi hỏi hơn. điểm trừ cho hình ảnh với quần thật không giống nhau, ở chỗ cạp quần nhìn không vừa mắt như ông già, cúc cài và khóa quần không giống ảnh. chỉ quần và ông quần rối và không chắc",do_ben,độ bền bền rách bung hỏng,"cửa hàng giao hàng nhanh. quần tốt với giá tiền không đòi hỏi hơn. điểm trừ cho hình ảnh với quần thật không giống nhau, ở chỗ cạp quần nhìn không vừa mắt như ông già, cúc cài và khóa quần không giống ảnh. chỉ quần và ông quần rối và không chắc [SEP] độ bền bền rách bung hỏng",0
"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất",kieu_dang,kiểu dáng form thiết kế mẫu,"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất [SEP] kiểu dáng form thiết kế mẫu",1
"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày.",uy_tin_cua_hang,uy tín shop cửa hàng đáng tin,"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày. [SEP] uy tín shop cửa hàng đáng tin",0
hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm,dong_goi,đóng gói bao bì đóng hộp,hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm [SEP] đóng gói bao bì đóng hộp,0
"from này không phải from baggy, nhìn chung vải tốt dịch vụ tốt đổi trả nhanh",do_ben,độ bền bền rách bung hỏng,"from này không phải from baggy, nhìn chung vải tốt dịch vụ tốt đổi trả nhanh [SEP] độ bền bền rách bung hỏng",0
"chất liệu vải khá tốt với mức giá, kích cỡ 31 nhưng ống dài hơn mong đợi, còn chỉ thừa rất nhiều.",gia_ca,giá giá tiền mắc rẻ,"chất liệu vải khá tốt với mức giá, kích cỡ 31 nhưng ống dài hơn mong đợi, còn chỉ thừa rất nhiều. [SEP] giá giá tiền mắc rẻ",0
hàng bị mất mút vậy vẫn giao được . tuy vải tốt nhưng không thể chấp nhận được,uy_tin_cua_hang,uy tín shop cửa hàng đáng tin,hàng bị mất mút vậy vẫn giao được . tuy vải tốt nhưng không thể chấp nhận được [SEP] uy tín shop cửa hàng đáng tin,0
"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",giao_hang,ship giao hàng vận chuyển giao lâu,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được [SEP] ship giao hàng vận chuyển giao lâu",1
"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất",chat_lieu,vải chất liệu vải thun cotton jean kaki,"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất [SEP] vải chất liệu vải thun cotton jean kaki",1
"lần trước mua hàng nhưng không vừa và đổi lại kích cỡ qua đó được trải nghiệm dịch vụ của cửa hàng và hãng vận chuyển một cách rất tồi xấu cửa hàng trả lời tin nhắn rất lâu,hỗ trợ cho khách không chuyên nghiệp,quần đổi kích cỡ gửi về cho cửa hàng từ 4 10 mà đến 29,30 10 vẫn không có quần để mặc.shop thì đổ lỗi cho hãng vc",gia_ca,giá giá tiền mắc rẻ,"lần trước mua hàng nhưng không vừa và đổi lại kích cỡ qua đó được trải nghiệm dịch vụ của cửa hàng và hãng vận chuyển một cách rất tồi xấu cửa hàng trả lời tin nhắn rất lâu,hỗ trợ cho khách không chuyên nghiệp,quần đổi kích cỡ gửi về cho cửa hàng từ 4 10 mà đến 29,30 10 vẫn không có quần để mặc.shop thì đổ lỗi cho hãng vc [SEP] giá giá tiền mắc rẻ",0
